Timestamps,PSM1x,PSM1y,PSM1z,PSM1_quat_x,PSM1_quat_y,PSM1_quat_z,PSM1_quat_w,PSM2x,PSM2y,PSM2z,PSM2_quat_x,PSM2_quat_y,PSM2_quat_z,PSM2_quat_w,PSM1_linearv_x,PSM1_linearv_y,PSM1_linearv_z,PSM1_angularv_x,PSM1_angularv_y,PSM1_angularv_z,PSM2_linearv_x,PSM2_linearv_y,PSM2_linearv_z,PSM2_angularv_x,PSM2_angularv_y,PSM2_angularv_z,jaw1_position,jaw1_velocity,jaw1_effort,jaw2_position,jaw2_velocity,jaw2_effort,Distance
30886,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180599702606969,-0.5087387666785412,-0.20418857415495317,0.17398212126546705,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18238172351602255,0.9444938351675101,0.1338162619940195,0.2382467424411958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.00251834148969678,1.3025055833547428,0.0,-0.0010055793396623785,0.2230565162691201
30887,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181335228255536,-0.5085881184746478,-0.2043066025608987,0.17393814051406326,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18238172351602255,0.9444938351675101,0.1338162619940195,0.2382467424411958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0031208861975691995,1.3025055833547428,0.0,-0.0010055793396623785,0.22305693331026535
30888,-0.10302802415205996,-0.06087769852930672,-0.09580832569803698,0.8180967510395766,-0.5086634453723277,-0.20424758948051852,0.17396013184589068,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18238172351602255,0.9444938351675101,0.1338162619940195,0.2382467424411958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0021969843121649475,1.3025055833547428,0.0,-0.0012867668700029657,0.22305672480527294
30889,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180599702606969,-0.5087387666785412,-0.20418857415495317,0.17398212126546705,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18238172351602255,0.9444938351675101,0.1338162619940195,0.2382467424411958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.002920037961611664,1.3025055833547428,0.0,-0.0011260882812368625,0.2230565162691201
30890,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180599702606969,-0.5087387666785412,-0.20418857415495317,0.17398212126546705,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18238172351602255,0.9444938351675101,0.1338162619940195,0.2382467424411958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.002920037961611664,1.3025055833547428,0.0,-0.0018089722834925205,0.2230565162691201
30891,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181335228255536,-0.5085881184746478,-0.2043066025608987,0.17393814051406326,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18238172351602255,0.9444938351675101,0.1338162619940195,0.2382467424411958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0024380021953137277,1.3025055833547428,0.0,-0.0010457489868539978,0.22305693331026535
30892,-0.10302821970205599,-0.060877836861271926,-0.09580802751377872,0.8181335228255536,-0.5085881184746478,-0.2043066025608987,0.17393814051406326,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18238172351602255,0.9444938351675101,0.1338162619940195,0.2382467424411958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0025585111368883993,1.3025055833547428,0.0,-0.0016081240475349851,0.22305693331026535
30893,-0.10302802415205996,-0.06087769852930672,-0.09580832569803698,0.8180967510395766,-0.5086634453723277,-0.20424758948051852,0.17396013184589068,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18238172351602255,0.9444938351675101,0.1338162619940195,0.2382467424411958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0028798683144202314,1.3025055833547428,0.0,-0.0012064275756199139,0.22305672480527294
30894,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180599702606969,-0.5087387666785412,-0.20418857415495317,0.17398212126546705,0.1168024523876516,-0.023485576198653452,-0.09026817653144853,-0.18238172351602255,0.9444938351675101,0.1338162619940195,0.2382467424411958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0030003772559947153,1.3025055833547428,0.0,-0.0011662579284282947,0.2230565162691201
30895,-0.10302782855847063,-0.06087756026461074,-0.09580862388490302,0.8180599702606969,-0.5087387666785412,-0.20418857415495317,0.17398212126546705,0.11680233835739243,-0.02348446772588779,-0.09026861247045997,-0.18222942322112773,0.9444866138505257,0.13393807670491736,0.23832344655583293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3668707725375912,0.0,0.0023174932537392444,1.3025055833547428,0.0,-0.001326936517194398,0.22305657888154265
