Gesture,Timestamps,PSM1x,PSM1y,PSM1z,PSM1_quat_x,PSM1_quat_y,PSM1_quat_z,PSM1_quat_w,PSM2x,PSM2y,PSM2z,PSM2_quat_x,PSM2_quat_y,PSM2_quat_z,PSM2_quat_w,PSM1_linearv_x,PSM1_linearv_y,PSM1_linearv_z,PSM1_angularv_x,PSM1_angularv_y,PSM1_angularv_z,PSM2_linearv_x,PSM2_linearv_y,PSM2_linearv_z,PSM2_angularv_x,PSM2_angularv_y,PSM2_angularv_z,jaw1_position,jaw1_velocity,jaw1_effort,jaw2_position,jaw2_velocity,jaw2_effort,Distance
TB,44498,-0.108415372819971,-0.000960680980347,-0.088775686309606,-0.36914237475459,0.915852167116881,0.154763608788383,-0.031574365277079,0.101042275704228,0.024726659081409,-0.059985695099234,-0.347611980013961,0.837281876250626,0.172135234057039,0.385349753145287,0.005377617328334,-0.001490718319208,-0.006748829214213,0.283254566121849,0.23429335253165,0.223145570104806,-0.000714507221416,0.002338110581891,0.003038911213165,0.138930862104162,0.196937333493227,-0.67215833811573,-0.675591057531379,0.131804184415854,-0.101320196500324,1.38009401476853,0.012285461347083,0.007148859040211,0.212981711793827
TB,44499,-0.108252676804023,-0.00081083532029,-0.088917276568916,-0.364939995947049,0.918092583403087,0.151778275698902,-0.029802058390022,0.101157068542381,0.024702754086942,-0.060013320924288,-0.350527640706063,0.836997930641374,0.167398862494208,0.385412062653394,0.005891057761922,-0.001587268190072,-0.007168345356783,0.095188625683675,0.327582650723548,0.070377486266468,-0.000454843988651,0.000166923580628,0.004487035069053,0.573071244020762,0.040041486285537,-0.432536615112115,-0.675591057531379,-0.017890912245976,-0.102324437680112,1.38401427235575,-0.420817191842479,-0.003978133231833,0.212929150992515
TB,44500,-0.108103470923437,-0.000674483896179,-0.08906010015746,-0.36382918225856,0.918699927012449,0.151302916936344,-0.026948053193915,0.101270342405606,0.024699895029952,-0.060041954272422,-0.353548127996893,0.835933171793842,0.16458227111283,0.386176293316825,0.006097906721407,0.00043539928279,-0.006386231491068,0.017132552700055,0.218907318838213,0.049047167026028,-0.00212229111148,0.001284776621725,0.003635985473274,-0.016621825116297,0.085920715469248,-0.036137824893781,-0.674774337200708,0,-0.103047491329559,1.37470366058609,0.256020780415455,0.000842224431147,0.212892709138752
TB,44501,-0.107819234447452,-0.000602038258984,-0.089378051629817,-0.359157021720026,0.921298505979955,0.146868446472737,-0.025395985095846,0.101470805701555,0.024689350139896,-0.060185292997297,-0.356468136671488,0.83573087492382,0.158092457626384,0.386640850245642,0.006323743147009,0.004966197543865,-0.006486415074599,0.238116437842401,0.08085601469322,0.163548695128731,-0.004220803583038,0.002932804732442,0.004467354520939,0.238100568992621,0.156600015873097,-0.512475544906893,-0.675101025332976,-0.072880238031704,-0.103489357448665,1.3756837249829,0.015783039239733,0.001284090550253,0.212824322832924
TB,44502,-0.107628908965532,-0.000551136074413,-0.08957749884678,-0.357703394141802,0.922061306653228,0.146075054648881,-0.022656279520323,0.101624513584432,0.024660568150123,-0.060349680049059,-0.357502590757165,0.836487704913402,0.153151956489472,0.386037168358271,0.004932397537105,0.002368628041508,-0.005014973815598,-0.001826722717502,0.13788222399098,0.032758383660794,-0.005426950213299,0.004398467223533,0.005014528298664,-0.228759698664603,0.071686639915986,0.013493935834949,-0.67526436939911,-0.00733260175037,-0.102846643093601,1.36490301661804,-0.463719525602738,0.00120375125587,0.21278367012168
TB,44503,-0.1074954992969,-0.000532365416975,-0.089768080825195,-0.355168321247301,0.923349973474612,0.144103103087646,-0.022684482522623,0.101809072744761,0.024627762852793,-0.060535961344786,-0.357219327385929,0.837050696632181,0.150845940909465,0.385987027658526,0.004705970413244,0.001122838006866,-0.003928738807473,-0.001297494411425,0.093302928985176,0.019241963346023,-0.005449659895211,0.00469836747902,0.006154777058047,0.062510401353244,0.032539607871155,-0.170934475390487,-0.674937681266842,0,-0.102565455563261,1.36816989794072,-0.121159008565108,-0.000724391809322,0.212828458485727
TB,44504,-0.107412396036734,-0.00041498250094,-0.089917843895398,-0.355213243636744,0.923304078238485,0.144454041560958,-0.021590751027898,0.102040392062056,0.024591554713129,-0.060759034263051,-0.359676005060973,0.836794656698491,0.14691850290726,0.385775617953911,0.004459230056931,-0.001443405226452,-0.001568780800375,0.007270072595124,0.031590747197319,-0.009283360442289,-0.006111277663468,0.004813158284462,0.007848552069876,0.369241794090338,0.355026533149644,-0.574720705902918,-0.674937681266842,0,-0.103730375331814,1.35738918957586,-0.694670385729184,-0.000724391809322,0.212946081262301
TB,44505,-0.107419085595646,-0.000295953537213,-0.090009165528257,-0.355060874499723,0.923266010599082,0.14511100467479,-0.021317724883786,0.102399769604349,0.024543503684258,-0.061163163717838,-0.364722543392221,0.836372223658398,0.136305295210324,0.385849499587394,0.004138056022931,-0.002333827773142,-0.000338477506679,0.004394930439117,0.014729277487241,-0.04333551385192,-0.009111649979968,0.00692954872323,0.007391115646765,0.260447618556853,0.073709864612849,-0.511852360912702,-0.675101025332976,-0.026255170901827,-0.102163759091346,1.35983935056787,-0.072425134506901,-0.001005579339663,0.213244091249771
TB,44506,-0.107441414163882,-0.000178070372765,-0.090071550306873,-0.354955296141529,0.923158383077212,0.146067124019377,-0.02120690397146,0.102633372064275,0.024505825287672,-0.06152949989725,-0.370012334459196,0.836490643264036,0.131056761179527,0.382358995485796,0.0033290442262,-0.002734635987087,-0.000451531211545,0.01711211418182,0.013141856025591,-0.030274151390233,-0.011028819722957,0.007958000640034,0.006011614686245,0.239731308908,-0.063092396840802,-0.519532199542764,-0.675101025332976,-0.034591734623858,-0.102846643093601,1.35869594210493,0.076777919086558,0.000962733372721,0.213437014492254
TB,44507,-0.107462201818639,-7.55065739177054E-05,-0.09014163987643,-0.354070422891085,0.923562978244832,0.145659343883708,-0.021187647076356,0.102913064309312,0.0244457474529,-0.062075627956511,-0.379404754916385,0.837364619234593,0.121465641948241,0.374324223404051,0.002396697372367,-0.001134803691607,-0.00024670714132,0.064846873960172,0.021731320561017,0.058740591128459,-0.011301981732482,0.009637711019073,0.004500662545962,0.031802408160494,-0.331539698875763,-0.58164656648581,-0.674774337200708,0,-0.102967152035176,1.34726185747554,0.182251065128153,0.003935287264892,0.213650989987276
