Predicted Gesture,Timestamps,PSM1x,PSM1y,PSM1z,PSM1_quat_x,PSM1_quat_y,PSM1_quat_z,PSM1_quat_w,PSM2x,PSM2y,PSM2z,PSM2_quat_x,PSM2_quat_y,PSM2_quat_z,PSM2_quat_w,PSM1_linearv_x,PSM1_linearv_y,PSM1_linearv_z,PSM1_angularv_x,PSM1_angularv_y,PSM1_angularv_z,PSM2_linearv_x,PSM2_linearv_y,PSM2_linearv_z,PSM2_angularv_x,PSM2_angularv_y,PSM2_angularv_z,jaw1_position,jaw1_velocity,jaw1_effort,jaw2_position,jaw2_velocity,jaw2_effort,Distance
NH,350,-0.023533928039498,1.23993650534034,0.717671336844334,0.3625379589948,-0.572865860641612,0.703385637068802,-0.213634219086143,0.012502122922939,1.22838869635239,0.712581984335121,-0.555925101576951,-0.492788068610647,0.66826622764819,0.039082602990367,0,0,0,0,0,0,0,0,0,-0.026453690572635,0,0,1.39593838918355,0,0.000349180541356,1.35052873879822,0.129474680228462,-0.002130329461024,0.038181806797904
NH,351,-0.023533928039498,1.23993650534034,0.717671336844334,0.3625379589948,-0.572865860641612,0.703385637068802,-0.213634219086143,0.012502122922939,1.22838869635239,0.712581984335121,-0.555925101576951,-0.492788068610647,0.66826622764819,0.039082602990367,0,0,0,0,0,0,0,0,0,0.001044272062398,0,0,1.39593838918355,0,-0.000414042755283,1.34954867440142,-0.506769038839765,-0.003937963584642,0.038181806797904
NH,352,-0.023533928039498,1.23993650534034,0.717671336844334,0.3625379589948,-0.572865860641612,0.703385637068802,-0.213634219086143,0.012502122922939,1.22838869635239,0.712581984335121,-0.555926697222237,-0.492815359771466,0.66824610193661,0.039059899326827,0,0,0,0,0,0,0,0,0,0.023966339540149,0,0,1.39593838918355,0,0.000670537718888,1.34742520154167,-0.047928743074461,0.004497662325573,0.038181806797904
NH,353,-0.023533928039498,1.23993650534034,0.717671336844334,0.3625379589948,-0.572865860641612,0.703385637068802,-0.213634219086143,0.012502122922939,1.22838869635239,0.712581984335121,-0.555928291940317,-0.492842650110341,0.668225975110493,0.039037195598141,0,0,0,0,0,0,0,0,0,0.017750423583256,0,0,1.39593838918355,0,-0.000213194519325,1.34922198626915,0.491160710965468,0.004055796206466,0.038181806797904
NH,354,-0.023533928039498,1.23993650534034,0.717671336844334,0.3625466833794,-0.57289458599021,0.703362241001353,-0.213619413086119,0.012502122922939,1.22838869635239,0.712581984335121,-0.555926697222237,-0.492815359771466,0.66824610193661,0.039059899326827,0,0,0,0,0,0,0,0,0,0.019027970478837,0,0,1.39577504511742,0,0.000590198424505,1.35069208286436,0.038052815983052,-0.003777284995876,0.038181806797904
NH,355,-0.023533928039498,1.23993650534034,0.717671336844334,0.3625379589948,-0.572865860641612,0.703385637068802,-0.213634219086143,0.012502122922939,1.22838869635239,0.712581984335121,-0.555923505004464,-0.492760776627929,0.668286352245199,0.039105306588724,0,0,0,0,0,0,0,0,0,0.002356206450692,0,0,1.39593838918355,0,-5.25159305591894E-05,1.34938533033528,0.459929101130574,0.003654099734551,0.038181806797904
NH,356,-0.023533928039498,1.23993650534034,0.717671336844334,0.3625379589948,-0.572865860641612,0.703385637068802,-0.213634219086143,0.012502122922939,1.22838869635239,0.712581984335121,-0.555923505004464,-0.492760776627929,0.668286352245199,0.039105306588724,0,0,0,0,0,0,0,0,0,-0.020875182954216,0,0,1.39593838918355,0,0.001915796781824,1.35069208286436,0.041746937565034,-0.00309440099362,0.038181806797904
NH,357,-0.023533928039498,1.23993650534034,0.717671336844334,0.362529234005539,-0.572837134337557,0.703409031963106,-0.213649024729855,0.012502122922939,1.22838869635239,0.712581984335121,-0.555923505004464,-0.492760776627929,0.668286352245199,0.039105306588724,0,0,0,0,0,0,0,0,0,0.011103466491225,0,0,1.39610173324968,0,-0.000414042755282,1.34824192187234,-0.364674772201684,-0.001688463341918,0.038181806797904
NH,358,-0.023533928039498,1.23993650534034,0.717671336844334,0.3625466833794,-0.57289458599021,0.703362241001353,-0.213619413086119,0.012502122922939,1.22838869635239,0.712581984335121,-0.555923505004464,-0.492760776627929,0.668286352245199,0.039105306588724,0,0,0,0,0,0,0,0,0,0.006049809388239,0,0,1.39577504511742,0,-0.001056757110347,1.34954867440142,-0.409003704030911,-0.003817454643067,0.038181806797904
NH,359,-0.023533928039498,1.23993650534034,0.717671336844334,0.362529234005539,-0.572837134337557,0.703409031963106,-0.213649024729855,0.012502122922939,1.22838869635239,0.712581984335121,-0.555925101576951,-0.492788068610647,0.66826622764819,0.039082602990367,0,0,0,0,0,0,0,0,0,0,0,0,1.39577504511742,0,0.001032064543611,1.35052873879822,0,-0.00361660640711,0.038181806797904
