Timestamps,PSM1x,PSM1y,PSM1z,PSM1_quat_x,PSM1_quat_y,PSM1_quat_z,PSM1_quat_w,PSM2x,PSM2y,PSM2z,PSM2_quat_x,PSM2_quat_y,PSM2_quat_z,PSM2_quat_w,PSM1_linearv_x,PSM1_linearv_y,PSM1_linearv_z,PSM1_angularv_x,PSM1_angularv_y,PSM1_angularv_z,PSM2_linearv_x,PSM2_linearv_y,PSM2_linearv_z,PSM2_angularv_x,PSM2_angularv_y,PSM2_angularv_z,jaw1_position,jaw1_velocity,jaw1_effort,jaw2_position,jaw2_velocity,jaw2_effort
1650324154699727454,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.01047193163361328,0.12365145806364938,0.0,0.003734439028934301
1650324154734676017,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.00946769045382579,0.12365145806364938,0.0,0.0034934211457851466
1650324154767311610,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.010431761986421848,0.12365145806364938,0.0,0.004256644442423857
1650324154801811576,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.010110404808889828,0.12365145806364938,0.0,0.003413081851402282
1650324154833788416,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.010150574456081262,0.12365145806364938,0.0,0.003774608676125734
1650324154868814574,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.010753119163953866,0.12365145806364938,0.0,0.004055796206466321
1650324154899776465,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.01015057445608126,0.12365145806364938,0.0,0.003895117617700218
1650324154934264209,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.009989895867315345,0.12365145806364938,0.0,0.003895117617700218
1650324154967539209,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.009949726220123913,0.12365145806364938,0.0,0.0033729122042106623
1650324155000714195,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.010271083397655744,0.12365145806364938,0.0,0.003935287264891837
1650324155034213599,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.010030065514506777,0.12365145806364938,0.0,0.004095965853657753
1650324155067034275,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.01019074410327288,0.12365145806364938,0.0,0.0036540997345512497
1650324155100646055,-0.11587943020468171,-0.0967474960815062,-0.14019001958169353,0.9370976691413367,-0.17318793651023504,-0.19296170693860842,0.2337085295673633,0.11667898973989636,-0.04628870535746697,-0.14855325909832243,-0.08180226085000204,0.9159242032905774,-0.16989714854237573,0.3542967723018645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0903292685722564,0.0,0.010110404808889641,0.12365145806364938,0.0,0.003935287264891837
