SX Gesture,DX Gesture,Timestamps,PSM1x,PSM1y,PSM1z,PSM1_quat_x,PSM1_quat_y,PSM1_quat_z,PSM1_quat_w,PSM2x,PSM2y,PSM2z,PSM2_quat_x,PSM2_quat_y,PSM2_quat_z,PSM2_quat_w,PSM1_linearv_x,PSM1_linearv_y,PSM1_linearv_z,PSM1_angularv_x,PSM1_angularv_y,PSM1_angularv_z,PSM2_linearv_x,PSM2_linearv_y,PSM2_linearv_z,PSM2_angularv_x,PSM2_angularv_y,PSM2_angularv_z,jaw1_position,jaw1_velocity,jaw1_effort,jaw2_position,jaw2_velocity,jaw2_effort,Distance
ST,NH,11142,-0.024878863578086,1.20783532699535,0.723192967630494,0.613260825973901,0.597541009367719,0.164270704242942,0.489766308740347,0.010872307002006,1.19414898837094,0.713040718594226,0.491109231625634,0.677657838820654,-0.534261253536883,0.118981044986998,0.024727606126036,0.001041647171731,0.030587680746314,0.280304970857326,0.163439054119536,-0.210057672895306,0.007940469479878,-0.003042360898151,0.010849563623679,-0.011761318519517,0.028482517672503,-0.345996077485495,-0.583138316099377,4.16629529811047,-0.021703955766776,-0.688168550623718,-0.016543202859906,-0.072105854868613,0.039604674260539
ST,NH,11143,-0.024284391636077,1.20801260440378,0.722740616886753,0.613711101843804,0.596985721526085,0.163039063709374,0.490290725460328,0.010670765424678,1.19405965133425,0.712904902910572,0.488677461740743,0.677652609151049,-0.536887658672834,0.117187549092055,0.022035067841801,-0.0014106514075,0.028356259392809,-0.029813629683423,-0.188442550347796,-0.0777890944807,0.009017820760585,-0.004032587491175,0.009654784570751,0.17412453480579,-0.107321548562415,-0.380314987224477,-0.500322874569297,4.58415259628537,-0.008729159723922,-0.688331894689853,-0.064226258771676,-0.071905006632656,0.038901017646378
ST,NH,11144,-0.023508584929247,1.20824803369442,0.721986165032989,0.614940851870603,0.593580711334122,0.162257457590159,0.493135078136926,0.010369736965938,1.1939477518494,0.712685088969187,0.482927823914475,0.676971538278487,-0.543780840138727,0.11310460268313,0.021788801138267,-0.006091542233027,0.026432886109855,0.063147629757269,-0.273634372856755,0.245625560909995,0.007364940422943,-0.001813310412922,0.009431195076372,0.552230603262523,-0.474907602051897,-0.758284800226837,-0.334855335575272,4.87574451189217,0.000791046660462,-0.687351830293047,-0.0565865572474,-0.073150265695592,0.037930841952498
ST,NH,11145,-0.022702446940074,1.20858758825251,0.72099381938535,0.62166236055981,0.58624395591744,0.163205440767204,0.493171286387862,0.00998326174851,1.19386220880898,0.712336741075221,0.475279373053413,0.67519285098306,-0.553406359205897,0.109387079318334,0.019378711840513,-0.007341069325425,0.020159915026168,0.202535965707171,-0.115874698515022,0.379555203242737,0.01249922397377,-0.001473198924703,0.007724737601469,0.296586180666948,0.011579406695455,0.004248167325121,-0.228681692587991,1.23577192354256,0.011837699638124,-0.68784186249145,0.046524709422795,-0.071021274394442,0.036880040090792
ST,NH,11146,-0.02228483846709,1.20873969166341,0.720439624189779,0.62652473322027,0.581536144278875,0.164729364618083,0.492084045659938,0.009662049220555,1.19389022258002,0.712017446578353,0.475688781231562,0.673564077067029,-0.555643842775502,0.106261646330862,0.011354942101874,-0.00536464918085,0.014773336970331,0.02641614943244,0.105887185723886,0.186988302328221,0.012838545523772,-0.001104919796341,0.00563183439744,0.129486474574571,0.104382728711294,-0.407595835897758,-0.208100340255072,1.85475428218595,0.020474173784296,-0.687515174359181,-0.038732142383764,-0.074797221230443,0.03622214020049
ST,NH,11147,-0.021858344033901,1.20866779553234,0.72005405363885,0.632492333702715,0.575509548069768,0.168945293692678,0.490101719673497,0.009337629897065,1.19399147242025,0.711668637618255,0.47479261995909,0.672728551963217,-0.558366773452255,0.101167236348409,-0.00059234210234,0.000638323001877,0.011753322572562,-0.064733069470631,0.033124422144864,0.624065304804916,0.008551286854137,-0.000280167684919,0.003920734676133,0.366875968089283,-0.082112307658735,-0.059345952779353,-0.118914480145755,2.48372186004154,0.020192986253956,-0.687678518425316,-0.06022538743476,-0.074998069466401,0.035480958998181
ST,NH,11148,-0.021640482946128,1.20842517340869,0.71998480745961,0.636325885600368,0.572732526861124,0.16938960607044,0.488235579761942,0.009173443098938,1.19404344974677,0.711480568270049,0.471966233191094,0.672996790849603,-0.561095836676711,0.097440526977265,-0.006063579955618,0.001473040710184,0.008324553870037,0.135881188503743,-0.057936939691698,0.086688099689313,0.007578425558527,-0.000714150386773,0.002465174418658,0.12244450491276,0.007666206122312,-0.366260297015867,-0.083305473728483,0.483398814844855,0.013725673056125,-0.687515174359181,-0.006289638695486,-0.074315185464145,0.035052162529465
ST,NH,11149,-0.0214652380203,1.20801738016365,0.719955130626966,0.636316684159092,0.571824341174711,0.168819703008311,0.489507822385987,0.009013318076153,1.1941005334077,0.711307823191547,0.467123650287511,0.674365863433048,-0.564389814844467,0.092142902483581,-0.007306877539942,-0.001113511798771,0.007619197937497,0.170998535810346,-0.122615249162827,-0.106499708784579,0.003468085482023,0.001029629377699,0.001199669756449,0.171780768512608,-0.098061944601693,-0.571990269729173,-0.028911899705768,1.53459146203062,0.013725673056125,-0.688005206557584,0.028483047995718,-0.070981104747251,0.0346034236924
ST,NH,11150,-0.021364408447496,1.20775608157636,0.719782147961951,0.635697442775671,0.571934249727585,0.168948403532836,0.490139176337418,0.008925160661474,1.19413046317823,0.71121461032546,0.462857822232742,0.674762725195704,-0.56818975671987,0.087282881729728,-0.001771564935951,-0.004664536337446,0.005844185892535,-0.093533500423883,0.004401878362783,0.000702000133978,0.003509143449928,0.000651433103863,0.000913982079172,0.305216426081719,-0.033884191190378,-0.510559890672512,0.023358201457202,1.31074376797066,0.015372628590976,-0.687351830293047,-0.075355867049471,-0.075118578407975,0.034300410707326
ST,NH,11151,-0.021363951040829,1.20763624221326,0.719564395527498,0.634984798603451,0.572076194417664,0.169224073635875,0.490801738205172,0.008867255834314,1.1941482532776,0.711132145911496,0.458601483291407,0.675331750596905,-0.571698552217118,0.082295027501618,-0.000371185972183,-0.007915281874217,0.00429039630926,-0.072513830690282,0.036573386981525,-0.067544636684668,0.002842574658313,0.001014529687133,0.000968434715981,0.231931962655487,-0.02097049881832,-0.316259616875183,0.059130551940609,1.40330823299899,0.019068236132594,-0.687025142160779,0.036262088234311,-0.075279256996741,0.034160716448029
