SX Gesture,DX Gesture,Timestamps,PSM1x,PSM1y,PSM1z,PSM1_quat_x,PSM1_quat_y,PSM1_quat_z,PSM1_quat_w,PSM2x,PSM2y,PSM2z,PSM2_quat_x,PSM2_quat_y,PSM2_quat_z,PSM2_quat_w,PSM1_linearv_x,PSM1_linearv_y,PSM1_linearv_z,PSM1_angularv_x,PSM1_angularv_y,PSM1_angularv_z,PSM2_linearv_x,PSM2_linearv_y,PSM2_linearv_z,PSM2_angularv_x,PSM2_angularv_y,PSM2_angularv_z,jaw1_position,jaw1_velocity,jaw1_effort,jaw2_position,jaw2_velocity,jaw2_effort,Distance
NH,NH,29201,-0.023196806647001,1.17769070096695,0.708820791882424,0.56107791962233,0.513228901199448,0.12178082427067,0.637931888155657,0.005467111359263,1.17298627662503,0.7113675295108,0.466830111339323,0.727295818771834,-0.498160327873004,-0.070332971481264,0.00135016421646,-0.000119093389879,0.006593789074289,-0.126758009256117,-0.120033491534516,-0.087429582709562,0.000966334952835,-0.001612267757251,0.000734362469414,0.012019407255601,0.001727658965145,-0.054813322799752,1.16856344912463,0.279156604777028,0.015452967885359,1.33060076272984,0.017689646825756,0.013134136471745,0.029158835306068
NH,NH,29202,-0.023017014470454,1.17761248034048,0.708699656164064,0.557608168646026,0.509383013570658,0.124712331381516,0.643466324018816,0.005420751734998,1.17300346406051,0.711354623649502,0.469787530945222,0.725486378033655,-0.498380136975536,-0.06772318749326,0.00323413496946,-0.002549838317562,0.003062861280975,-0.539038415883946,-0.114571184175392,0.104357790589908,-0.000599176531907,0.000470890717743,-3.03378874592796E-05,0.011809798802703,-0.051991137520229,0.217129996497473,1.15778274075977,-0.848704344081773,0.007298529505485,1.33060076272984,-0.019942949713151,0.010241921873957,0.028930925152399
NH,NH,29203,-0.022991411633365,1.17754948828511,0.708582500999192,0.548306236065777,0.511694302507926,0.123575722565677,0.649814014210743,0.005411538128717,1.17301589251005,0.71133033098593,0.475256962462558,0.721833825129426,-0.499012304944031,-0.063823726343178,-0.000305975547136,-0.004730812157092,0.001536801995229,-0.805213678504147,-0.126519978204511,-0.8398133948672,-0.000101604019763,0.000302540961981,0.000159871542943,0.062542418889266,-0.052713990360003,0.595653647216156,1.15092228998213,0.563201643435619,0.013203467642635,1.31933002216657,-0.794219358356082,0.000199510076082,0.02889345281331
NH,NH,29204,-0.023051607204742,1.17741906147386,0.708421608203615,0.528408308729215,0.512950581112554,0.118562922505745,0.666039934245027,0.005410975092957,1.17302352753155,0.711304760424192,0.480446686270953,0.718336090285132,-0.499459849400931,-0.06086133322176,-6.28301761206179E-05,-0.005299249916947,0.000319551865085,-0.922481574370127,-0.472633279993797,-0.705806624077318,-2.55234770318025E-19,0.001274211236587,-9.19605240763237E-05,-0.031994925522196,0.041875778771952,0.580233620762839,1.17836409309269,0.737773542397224,0.001714948545867,1.29499175631257,-0.598967077738448,-0.000844900750896,0.028943943691527
NH,NH,29205,-0.023095983084927,1.1773505286231,0.70825261419006,0.510500560820794,0.513170621325956,0.115972957155871,0.680143634843486,0.005438094033147,1.17301873374394,0.711269697371142,0.486218146355834,0.714261011438597,-0.500175099286622,-0.056991154985893,0.000699812154443,-0.004055885469684,0.001202413766968,-0.962732864962905,-0.160954621537692,-0.698631341724096,0.000851427706404,0.001356158535097,0.000359657204614,0.049807808866771,0.040792569824637,0.473010478827843,1.23422776371061,3.01702097975671,0.013042789053869,1.25480911604353,-1.79245577942876,-0.004902035117238,0.029018283801369
NH,NH,29206,-0.023106315113804,1.17723604551045,0.708179255016225,0.494577325694776,0.514780498477955,0.11366024360887,0.690996133359778,0.005478654269357,1.17303161733853,0.711201883745068,0.49379826926457,0.708582162339296,-0.501374980123147,-0.051939559031598,-0.002612286762819,-0.003469229258453,0.002770863860738,-1.056368209516,-0.2255990125989,-0.852163226994781,0.000872097875744,0.001864312070014,0.000270789859414,0.02781753994143,-0.049134736914671,0.440476467081718,1.33909465416882,3.43009732475441,0.008061752802123,1.17673065243135,-1.91073352342226,-0.007432722890302,0.029050197509165
NH,NH,29207,-0.023093830353815,1.17709014108734,0.708150504883641,0.478584580316941,0.515206986487619,0.114724536550077,0.701681438596301,0.005494801104598,1.17304469600721,0.711161173475845,0.495974013382493,0.707027636351495,-0.501578993260367,-0.050400525834538,-0.001329501893798,-0.002837112846889,0.003460295217042,-1.00444188090616,-0.208920675228621,-0.23045117027558,0.002013020785238,0.00164258412022,0.000317454329521,0.07999012964656,0.010726989691462,0.010118657346154,1.38826121807524,0.701466988488805,0.007459208094251,1.139814893485,-1.95205335947321,-0.010083919604941,0.029029977608214
NH,NH,29208,-0.023052133281728,1.17697972180805,0.708115222351157,0.469571992681127,0.512978392618185,0.119123009853451,0.708636028522255,0.005548249926497,1.17307791117612,0.711069085545427,0.501973568570392,0.702530505516187,-0.502298639871582,-0.046577909560599,-0.000867960727375,-0.00187086749913,0.003409321117825,-0.647660071944602,-0.171058088013166,0.100399384122456,0.001637376016594,0.002465269697579,-0.000254087387438,0.069925432035467,0.017526711711755,0.355559238442384,1.39561170105128,-0.166650429953258,0.003562752316676,1.04295186226737,-2.89881343738689,-0.012253080553282,0.029016053378005
NH,NH,29209,-0.02303352020783,1.17691972462512,0.708105206395012,0.46388802691996,0.512152930948172,0.12252547897905,0.712386679270786,0.005605448417136,1.1730998922727,0.711005277834442,0.506617481278699,0.699167808703733,-0.502596264000271,-0.043590117552239,-0.000445607074024,-0.000862495938459,0.000488688014033,-0.44615674111449,-0.001373775880547,-0.001634695419405,0.000713456207112,0.002807712039431,-0.001014418615168,0.061542332564572,-0.016819176359507,0.195555854570857,1.38074739103306,-0.893972625418674,0.001152573485186,0.950662464901505,-3.514278224773,-0.015064955856687,0.02903776949864
NH,NH,29210,-0.023030361381143,1.17690307918692,0.708097359912474,0.458872878335454,0.51379291297343,0.125443375898259,0.71394431403973,0.005664977106465,1.17311929868958,0.710957450403178,0.511491721205974,0.69568572456605,-0.50277330450102,-0.040206915498268,0.000844147298275,-7.65818152451377E-05,-9.56068593051304E-05,-0.387875567769533,0.326005096278869,-0.111631700802925,0.000551428263334,0.002866827468349,-0.001595987356303,0.007940226904735,0.025788519393485,0.650024618210472,1.3475885456078,-1.02173114291712,-0.003346427000262,0.830114544094407,-3.89019159891297,-0.009722392780217,0.029084696377742
