SX Gesture,DX Gesture,Timestamps,PSM1x,PSM1y,PSM1z,PSM1_quat_x,PSM1_quat_y,PSM1_quat_z,PSM1_quat_w,PSM2x,PSM2y,PSM2z,PSM2_quat_x,PSM2_quat_y,PSM2_quat_z,PSM2_quat_w,PSM1_linearv_x,PSM1_linearv_y,PSM1_linearv_z,PSM1_angularv_x,PSM1_angularv_y,PSM1_angularv_z,PSM2_linearv_x,PSM2_linearv_y,PSM2_linearv_z,PSM2_angularv_x,PSM2_angularv_y,PSM2_angularv_z,jaw1_position,jaw1_velocity,jaw1_effort,jaw2_position,jaw2_velocity,jaw2_effort,Distance
ST,NH,33367,-0.03839076063751,1.17368373496439,0.71139825246854,0.436691812621083,0.372564121173513,-0.223539602284957,0.787734906306813,0.004704277347169,1.16549705403842,0.728198192302237,0.903990009666075,0.136191546602178,-0.229429134343742,0.334090103673122,-0.002675105686474,0.002664226703296,0.002008027255089,-0.021201271357788,0.037183148235142,-0.512488094950998,-0.015047071294155,0.007214527526084,-0.007834622763471,-0.412670680303379,0.40623317300437,0.915267405246689,1.28600783267518,-0.091746056677916,-0.00704203454188,-0.689475303152793,-0.09282660542541,-0.063951416488739,0.046972779584568
ST,NH,33368,-0.038368170655063,1.17369541151527,0.71141884642835,0.436043365074606,0.373081307038642,-0.224938878439667,0.787450965507731,0.004501665474115,1.16545341907913,0.728685362289282,0.905889635591098,0.126139289796014,-0.219132730284874,0.339755344647118,-0.000636875510383,0.000208182372024,0.000195999293658,0.025648337588632,-0.025284799660679,-0.075241582536659,-0.013653648062539,0.008096227599732,-0.008182986521311,-0.298865552712194,0.388422878658431,1.16490993608257,1.28519111234451,0,-0.010456454553157,-0.689475303152793,-0.133571504352439,-0.063871077194356,0.046945562719343
ST,NH,33369,-0.038332789599321,1.17371985347641,0.71140667692121,0.43593448703407,0.373257881739932,-0.225062209570265,0.787392328230795,0.004206631673007,1.16542497653769,0.729340379536227,0.908443053356085,0.109350722881533,-0.20354233568142,0.348344880541845,0.001361844504486,0.00133546068728,-0.000225539650919,-0.051332550405043,0.046134876316761,-0.03678128436841,-0.012993924380964,0.006072469439007,-0.0078376847486,-0.136993647521666,0.46593929807041,0.999838791790964,1.28486442421224,0,-0.01134018679137,-0.689475303152793,-0.084720675463356,-0.063750568252781,0.046904424472506
ST,NH,33370,-0.038312243315462,1.17372997024462,0.711399710378673,0.436042704338598,0.373111182282775,-0.225162843364221,0.787373164145674,0.003925801882643,1.16547785919177,0.729841795354648,0.911254335271134,0.102653807073861,-0.191914747738049,0.349637615172405,-2.37933147930857E-05,9.11627704674003E-05,0.000111633392838,-0.000270122629462,-0.000634801553143,0.000460822288191,-0.011761650111796,0.002304190451199,-0.006918471946738,0.026054856802749,0.301952670617062,0.182082063570263,1.28453773607997,0,-0.010094927728434,-0.689148615020524,-0.039518056776183,-0.06531718449325,0.046821579397185
ST,NH,33371,-0.038293657646097,1.17373703678824,0.711401082954128,0.436177008983888,0.372956185548989,-0.225457683343789,0.787287833969171,0.003740005701504,1.16554524661719,0.73005010343799,0.911383804396336,0.103395212690177,-0.191008260122271,0.34957808232479,0.000426027435589,0.00078499995965,0.000162289815722,0.013523924617281,-0.013220023156885,-0.007906064969914,-0.013682154960404,-0.000332166332758,-0.006851801503144,0.029426684566359,-0.095778471448603,-0.223075192964088,1.28486442421224,0,-0.009251365137412,-0.689148615020524,-0.023007824037945,-0.06423260401908,0.046708888293701
ST,NH,33372,-0.03826952916797,1.17373851182697,0.711407093655726,0.436082893561587,0.373018046593474,-0.225392009307662,0.787329466614071,0.003241041913811,1.16574218200866,0.730425555028511,0.911494087547435,0.10564410460785,-0.19836471535364,0.344484094306754,-0.000100861828636,0.000345260439883,0.000485767552069,0.002253914261845,-0.005595715856691,-0.000933565428874,-0.015915522082881,-0.00370864477567,-0.005566097904243,0.417990113319096,-0.464976064647886,-0.360180642766018,1.28470108014611,0,-0.01053679384754,-0.689311959086658,-0.130055833632695,-0.066321425673037,0.046354834430586
ST,NH,33373,-0.038243289120148,1.17374334215144,0.711419333691398,0.436288910474837,0.372681167925055,-0.226064610398088,0.787182015544218,0.002595943096399,1.1659963574217,0.730778980013001,0.911995129195335,0.105459511308504,-0.21984773593898,0.329863833726978,0.001364055929474,0.001165532253343,-0.000287758640567,0.038991361374111,0.004127572583379,0.007556832504262,-0.013767776806941,-0.008582265925041,-0.003731357468935,0.699408268501424,-1.01229655029402,-2.0412134712348,1.27784062936847,0.081766022737645,-0.011982901146434,-0.688495238755987,0.13706883000562,-0.064433452255037,0.045854711493339
ST,NH,33374,-0.038223990833265,1.17374628879755,0.711418995885394,0.436100900315283,0.3727201374198,-0.225930282078203,0.787306300969342,0.002353407933921,1.16616062289842,0.730843355558098,0.909604697030192,0.12147280596438,-0.234336937896768,0.320857993649712,-0.000292573307625,0.000145700450771,0.000252384841455,0.02511389120331,-0.024169364753783,-0.020611472141104,-0.010579557434231,-0.008144042626254,-0.002959418330926,0.385362742195289,-0.551641710073816,-2.04992335473378,1.26967342606175,0,-0.011982901146434,-0.688168550623718,-0.017670166515464,-0.067888041913506,0.045622071046139
ST,NH,33375,-0.038212972190388,1.17374389720496,0.711421097755513,0.435989352790253,0.372829071689253,-0.225816641969275,0.787349104125093,0.002011782084378,1.16635679677167,0.730925638357739,0.906083348417453,0.149149823264315,-0.249185375049716,0.30769131414808,4.78966308321611E-05,-3.88836953406251E-05,4.14305789876341E-05,0,0,0,-0.008155865992167,-0.008037170803856,-0.002083038859016,0.451193879461778,0.201307246931798,-2.53963500313404,1.26787664133428,0,-0.011782052910476,-0.689475303152793,0.092314246678818,-0.06182242518759,0.045310343337705
ST,NH,33376,-0.03821374420104,1.17374165192555,0.711422939051279,0.436002511336255,0.372793926818914,-0.225898673613831,0.787334927140239,0.001631716314016,1.16664672288825,0.731019097209301,0.902613091420138,0.203299508145313,-0.256773897558506,0.279331492527193,5.91977798414429E-05,-4.80392267537619E-05,5.11972284345289E-05,0,0,0,-0.010450510557741,-0.008836676173888,-0.003857610232705,0.759474089009784,0.783972105670535,-2.79033762714239,1.26787664133428,0,-0.012987142326221,-0.688168550623718,0.167082128033768,-0.06640176496742,0.044966745004007
